"Timestamp","Username","Name of your club","Club Sponsor Teacher","What is the purpose of your club?","What are some activities that take place during a typical meeting?","What best describes the role of your club?","Meeting Day","Meeting Time","Meeting Location","Please upload a photo for the front page of the website","Please upload any additional photos.","","","","",""
"2022/10/24 7:05:14 pm GMT-7","","Coding Club","Mr. Hasan","1. To build a community of enthusiastic programmers that help each other
2. To teach beginners the basics of programming, so that some of them would build a passion or interest in programming
3. To have fun by coding, by giving out candies and hosting events like kahoots, competitions, game jams, etc.
4. To provide help with events like AP Computer Science and CCC","Normally, we would split into two small groups, junior (no experience ~ beginner) and senior (more experienced). Juniors will
learn the basics of programming using Java, and seniors will be given some challenges or projects to do. And for both groups, free
candies if you do something correctly! All throughout the meeting execs will be available for help. 
We have bi-monthly coding competitions with awards, as well as other events.","Academic","Tuesday","Lunchtime","103","","","","","","",""
"2022/10/29 6:33:59 pm GMT-7","","Mock Trials","Ms. Rakkar","To educate students on legal proceedings, while practicing public speaking by preparing mock cases.","Lessons and drills on mock trial speaking positions, official mock trials (including inter-club tournaments, and possible provincial-held tournaments), tournament preparation for members competing in official mock trials, and fun speech practices with impromptu topics.","Academic","Monday","After School","Room 213","","","","","","",""
"2022/10/29 6:35:39 pm GMT-7","","Debate Club","Ms. Rakkar","To teach students and help them improve their speaking skills in debate on all levels.","In every meeting, the club engages its members on a variety of different activities from lessons to full on debates to help them critically expand their debating abilities and argumentation.","Academic","Tuesday","After School","Room 213","","","","","","",""
"2022/10/29 6:39:04 pm GMT-7","","Dance Club","Ms. Rakkar","To provide friendly dance lessons to people of all levels","Dance Lessons, Games, etc.","Social","Wednesday","Lunchtime","NLC","","","","","","",""
"2022/11/08 4:09:19 pm GMT-8","","Student Council","Mrs. Brar, Ms. Gonsales, Ms. Wong","We create a space that allows students to have a chance to lead and collaborate to further build a positive school environment and culture. We promote positive school activities and host fun spirit events! We promote spirit within the school.","Every week theres something new! We brainstorm, plan, and organize school spirit events. We work as a team to create a fun and enthusiastic school environment by sharing ideas with with the team. We turn ideas into actions! ","Spirit","Tuesday","Lunchtime","Mrs. Brars room D105","https://drive.google.com/u/0/open?usp=forms_web&id=1LxKZCy8sDY2E7V3K3r8j9t8M8j0Lr-rw","https://drive.google.com/u/0/open?usp=forms_web&id=1tEBver7FUisc0QITmxkhCPf3eCBDJ4LK;https://drive.google.com/u/0/open?usp=forms_web&id=1xUbthJrLsla0gz6xZKVGiHZcPPbpw_l4;https://drive.google.com/u/0/open?usp=forms_web&id=1VxnoK-hMWuVguKIbyVJ_ygm-4BlOTFHp;https://drive.google.com/u/0/open?usp=forms_web&id=1xbgZllujAo12SNQQ3bNocSuNkoCxQukq","","","","",""
"2022/11/08 4:11:54 pm GMT-8","","Homework Club","Amy Grewal","Homework club is run by a group of Fraser Heights Students who are eager to help out students in various subjects. This club is great for students who'd like extra help on assignments from a knowledgeable peer. It’s a welcoming and warm environment that’s enjoyable for students.","Students create posters, discuss how to spread the word about the club, and most importantly assist peers with their assignments","Academic","Monday;Tuesday;Thursday","Lunchtime","Room 210","https://drive.google.com/u/0/open?usp=forms_web&id=1hsyqjTKKI6typNxA8yjpyhn_zOQUFXId","","","","","",""
"2022/11/08 4:15:19 pm GMT-8","","FH Environment Club","Ms. Sereda","To obtain a sustainable lifestyle and combat climate change through individual actions. ","Battery challenge, pens and markers collection, litter pickups","Social","Thursday","Lunchtime","Room 203","https://drive.google.com/u/0/open?usp=forms_web&id=1_Aowg2jvlIrWIuVrHePRwNjwU80cnvjg","https://drive.google.com/u/0/open?usp=forms_web&id=1KlpT2GGZqp8YNtoKyvwyF0IeX4zmUFk8;https://drive.google.com/u/0/open?usp=forms_web&id=1x2Gg12gBOctXnzDobfjpZR_kPCLlPJUI;https://drive.google.com/u/0/open?usp=forms_web&id=1oBy8ym_zq0K5vxNC0ax5etIa2OJJ7Y3G","","","","",""
"2022/11/08 4:37:09 pm GMT-8","","Ethics Bowl ","Ms. Balikis ","Holding competitive and collaborative team discussions where students analyze, criticize, and compare ethical dilemmas. This provides students the opportunity to think critically, apply their knowledge in the real world, and deepen their awareness of ethical values. ","In a typical Ethics Bowl meeting, students discuss and analyze case studies that involve political, social, or economic dilemmas. Students practice their public speaking and critical thinking skills by splitting up into two teams and proposing solutions to ethical issues. Coaches also train students on philosophical perspectives and speaking strategies, preparing them for upcoming competitions","Academic","Tuesday;Thursday","After School","Room 215 ","https://drive.google.com/u/0/open?usp=forms_web&id=1VO-Q-wkLZ5hyaHxAruWzl0Jnl5bYzP-U","","","","","",""
"2022/11/08 5:13:12 pm GMT-8","","Chess Club","Ms. Rakkar","To provide a social, informative, and fun environment for students to learn and play the game of chess and compete in spirited competitions.","During a typical meeting, we may watch videos on new chess openings and tactics, have mini in-class tournaments, or just play with our peers.","Academic","Friday","Lunchtime","Room 213","https://drive.google.com/u/0/open?usp=forms_web&id=1MoQYzF-CB-3BbDTz2v7vsCB8grJG1npH","","","","","",""
"2022/11/09 8:39:59 am GMT-8","","FH Red Cross","Ms. Balikis","To spread awareness on current events and global issues while advocating for people in need through fundraisers and humanitarian aid.
 ","- Current events presentations
- Fundraiser logistics planning
- Initiative brainstorming/execution","Humanitarian","Thursday","Lunchtime","Portable 6","","","","","","",""
"2022/11/09 9:47:30 am GMT-8","","Competition Robotics","Mrs Desrochers","To plan and prepare for Robotics competitions in the Surrey Robotics League","In meetings we plan for competitions, and delegate tasks. We are currently at capacity, so please see Mrs Desrochers to put your name on the waitlist.","Competition Robotics","TBA on Teams","Lunchtime;After School","Teams","https://drive.google.com/u/0/open?usp=forms_web&id=1s6nWyh89s5Ir9RV76DvnckDPKuRFFdt2","https://drive.google.com/u/0/open?usp=forms_web&id=1jqs00RRQE7GffJeOXbD03ol6FgiVK1il","","","","",""
"2022/11/12 12:49:00 pm GMT-8","","Fraser Heights Youth for Care","Mrs. Brar","We are the Fraser Heights Youth for Care Club! A group of friendly people who are interested in nothing but giving back to our beautiful community.We are associated with the Surrey Memorial Hospital and the Surrey Memorial Hospital Foundation. We give back by fundraising for them, making care packages for the children staying in the hospital and we give our own members insight on the healthcare and medical field by bringing in healthcare professionals to do Doctor Talks!","We are focused on helping the youth of our school and other people in any way we can through fundraising activities. We also are focused on the medicinal field and provide “doctor talks” to students in order to give them an insight into the real world and how there is a large variety of healthcare professionals. In their talks, they give you tips and tricks to follow in their footsteps and what to prepare for if you are interested in pursuing a career in the healthcare/medical field.","Humanitarian","Monday","Lunchtime","Mrs. Brar's classroom","https://drive.google.com/u/0/open?usp=forms_web&id=1hpHvRE2ENyLJSCv0Od7nxG37eZCWjoaZ","https://drive.google.com/u/0/open?usp=forms_web&id=1o6i2oG6fZHQY7aaBpHivjz2oyDfktjQC","","","","",""
"2022/12/15 8:42:48 pm GMT-8","","Anime Club","Mr. Ho","The purpose of the FHSS Anime club is to promote and improve the communication skills between students of any grades using Japanese pop culture as a foundation, as well as the building of long lasting memories and connections. Society is built on social engagement, so we strive to increase the availability of such events.","Weekly meetings are on Wednesdays from 3:00pm - 4:30pm. Each meeting will start by watching 2 or 3 episodes from an anime that the club members voted on at the beginning of each semester. After, we would play some games including; Jackbox, Garticphone, and other fun activities.","Social","Wednesday","After School","Room 204","https://drive.google.com/u/0/open?usp=forms_web&id=1g46G5ovVAsqSacA1xHVEOLCxQFpMzwgG","https://drive.google.com/u/0/open?usp=forms_web&id=1FzClCUywLb8pjRYdU2SifdDGKhBzNgTC;https://drive.google.com/u/0/open?usp=forms_web&id=1KB2TacEeQty_Q43W-Bhxi69nEcZlnj9V;https://drive.google.com/u/0/open?usp=forms_web&id=1mTRjMEsY3T5gzclCKriNoSY2da86iHqT;https://drive.google.com/u/0/open?usp=forms_web&id=1pIC6ofacuIfcRjFsNijeq0bD816BFvwI","","","","",""
